Year,Car Title,Car Model,Mileage,Fuel Type,Ownership,EMI Info,Current Price,Original Price,Location
2021,Renault Kwid,RXT 1.0 AMT (O),"4,831 km",Petrol,1st Owner,"9,814/m",5.02L,4.70L,"Dewas Naka, Lasudia Mori"
2022,Mahindra Thar,LX HT PETROL 4WD MT,"32,395 km",Petrol,1st Owner,"23,583/m",12.39L,4.70L,"Dewas Naka, Lasudia Mori"
2018,Jeep Compass,LONGITUDE 2.0 DIESEL,"40,813 km",Diesel,1st Owner,"21,128/m",11.10L,12.90L,"Dewas Naka, Lasudia Mori"
2019,Mahindra XUV300,W8 (O) 1.5 DIESEL,"56,293 km",Diesel,1st Owner,"16,940/m",8.90L,10.46L,"Dewas Naka, Lasudia Mori"
2022,Renault Kwid,RXL,"13,379 km",Petrol,1st Owner,"8,739/m",4.47L,10.46L,"Maharishi Puram, Agra"
2021,Renault Kwid,CLIMBER 1.0 (O),"14,753 km",Petrol,1st Owner,"8,962/m",4.58L,5.22L,"Maharishi Puram, Agra"
2019,Mahindra XUV500,W5,"23,502 km",Diesel,2nd Owner,"17,492/m",9.19L,10.22L,"Maharishi Puram, Agra"
2023,Mahindra XUV300,W8 (O) 1.2 PETROL,"14,513 km",Petrol,1st Owner,"21,946/m",11.53L,12.11L,"Maharishi Puram, Agra"
2018,Renault Duster,110 PS RXZ DIESEL,"60,158 km",Diesel,1st Owner,"13,509/m",6.91L,7.62L,"Maharishi Puram, Agra"
2019,Mahindra XUV300,W8 1.5 DIESEL,"70,894 km",Diesel,1st Owner,"16,160/m",8.49L,8.94L,"Maharishi Puram, Agra"
2021,Renault Kwid,CLIMBER 1.0 (O),"12,145 km",Petrol,1st Owner,"8,465/m",4.33L,8.94L,"Maharishi Puram, Agra"
2018,Jeep Compass,LONGITUDE 2.0 DIESEL,"74,364 km",Diesel,1st Owner,"21,128/m",11.10L,12.13L,"Singanallur, Coimbore"
2020,Renault TRIBER,RXZ,"70,648 km",Petrol,2nd Owner,"12,004/m",6.14L,7.07L,"Singanallur, Coimbore"
